pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SL,2019-09-24,83.8,-3.55,5.09,Max Scherzer,596748,453286,,called_strike,,,,,4,,R,R,R,WSH,PHI,S,,,1,1,2019,0.43,0.05,-0.75,2.22,,,,2,4,Top,,,,,543228,,190925_002023,5.599068882,-121.994504,-0.356570557,3.216618019,22.61836819,-31.80962326,3.2,1.42,,,,83.4,2408,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6,,,,,,,,29,3,Slider,1,4,4,1,4,1,4,1,Standard,Standard
CU,2019-09-24,79,-3.21,5.37,Max Scherzer,596748,453286,,ball,,,,,14,,R,R,R,WSH,PHI,B,,,0,1,2019,1,-0.6,0.76,1.26,,,,2,4,Top,,,,,543228,,190925_002006,6.757095038,-114.8804389,-1.044935349,7.50803276,20.78545194,-37.44476521,3.2,1.48,,,,78.4,2728,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.64,,,,,,,,29,2,Curveball,1,4,4,1,4,1,4,1,Standard,Standard
FF,2019-09-24,94.3,-3.34,5.44,Max Scherzer,596748,453286,,foul,,,,,6,,R,R,R,WSH,PHI,S,,,0,0,2019,-0.9,1.32,0.66,2.39,,,,2,4,Top,,,,,543228,,190925_001946,12.2201461,-136.7343991,-5.046178398,-13.79896298,29.44736586,-15.02550272,3.26,1.53,,,,93.4,2424,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.6,,,,,,,,29,1,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
FF,2019-09-24,94.6,-3.28,5.46,Max Scherzer,656514,453286,field_out,hit_into_play,,,,,12,Adam Haseley pops out to third baseman Anthony Rendon.  ,R,L,R,WSH,PHI,X,5,popup,0,1,2019,-0.96,1.27,1.04,3.26,,,,1,4,Top,91.24,160.72,,,543228,,190925_001918,13.14868842,-137.0046463,-2.73596077,-14.60939717,28.75278047,-16.15857642,3.37,1.71,124,52.9,53,93.5,2497,5.8,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.74,0.052,0.047,0,1,0,0,1,28,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shift,Standard
CU,2019-09-24,79.4,-3.29,5.4,Max Scherzer,656514,453286,,called_strike,,,,,13,,R,L,R,WSH,PHI,S,,,0,0,2019,0.99,-0.54,-0.85,2.13,,,,1,4,Top,,,,,543228,,190925_001857,3.508603132,-115.5430412,0.533775995,8.143105457,19.62738705,-37.28586946,3.4,1.73,,,,79,2674,5.8,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.71,,,,,,,,28,1,Curveball,1,4,4,1,4,1,4,1,Infield shift,Standard
FF,2019-09-24,95.4,-3.32,5.29,Max Scherzer,664068,453286,strikeout,swinging_strike,,,,,5,Scott Kingery strikes out swinging.  ,R,R,R,WSH,PHI,S,2,,3,2,2019,-0.84,1.26,-0.27,2.45,,,,0,4,Top,,,,,543228,,190925_001824,9.807266726,-138.5773888,-4.600020677,-12.83004171,29.06784567,-15.3696422,3.52,1.65,,,,94.9,2523,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.56,,,0,1,0,0,,27,7,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019-09-24,85.5,-3.48,5.07,Max Scherzer,664068,453286,,foul,,,,,4,,R,R,R,WSH,PHI,S,,,3,2,2019,0.23,0.01,-0.45,2.28,,,,0,4,Top,,,,,543228,,190925_001759,6.640013285,-124.4394027,-0.389867037,1.240136749,22.1821042,-32.23986906,3.46,1.65,105,,,85.6,2454,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.41,,,,,,,,27,6,Slider,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019-09-24,84.7,-3.48,5.12,Max Scherzer,664068,453286,,ball,,,,,11,,R,R,R,WSH,PHI,B,,,2,2,2019,0.54,-0.11,-0.7,3.62,,,,0,4,Top,,,,,543228,,190925_001736,5.402439612,-123.2737754,2.98603682,4.45535853,22.79903608,-34.06466747,3.4,1.59,,,,84.5,,6,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.54,,,,,,,,27,5,Slider,1,4,4,1,4,1,4,1,Standard,Standard
CH,2019-09-24,84.9,-3.42,5.27,Max Scherzer,664068,453286,,ball,,,,,13,,R,R,R,WSH,PHI,B,,,1,2,2019,-1.38,0.04,-1.76,2.24,,,,0,4,Top,,,,,543228,,190925_001714,6.555004654,-123.3997136,-0.853813304,-15.21425261,23.18356092,-31.864784,3.49,1.59,,,,84.5,1700,5.9,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.55,,,,,,,,27,4,Changeup,1,4,4,1,4,1,4,1,Standard,Standard
SL,2019-09-24,84.4,-3.59,5.13,Max Scherzer,664068,453286,,foul,,,,,8,,R,R,R,WSH,PHI,S,,,1,1,2019,0.52,-0.11,-0.19,1.6,,,,0,4,Top,,,,,543228,,190925_001649,6.847906221,-122.7050771,-1.636291675,3.878726929,23.39176358,-33.16343469,3.43,1.62,5,,,84.1,2493,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.45,,,,,,,,27,3,Slider,1,4,4,1,4,1,4,1,Standard,Standard
